Open,High,Low,Close
118.15,118.24,118.01,118.12
118.12,118.35,118.03,118.32
118.32,118.41,118.12,118.39
118.39,118.46,118.21,118.39
118.41,118.97,118.41,118.92
118.92,119.16,118.54,118.61
118.61,119,118.52,118.83
118.83,119.27,118.77,119.12
119.12,119.47,119.08,119.4
119.4,119.78,119.25,119.61
119.61,119.91,119.59,119.88
119.88,120.11,119.84,120.03
120.03,120.3,119.92,120.22
120.23,120.95,120.06,120.85
120.85,121.21,120.73,121.12
121.12,121.92,121.1,121.83
121.83,122.02,121.43,121.95
121.96,122.23,121.39,121.4
123.67,123.67,120.95,121.25
121.25,121.57,120.39,121.36
121.36,122.22,120.84,121.67
121.67,122.02,120.69,120.71
120.71,122,120.02,121.79
121.74,121.87,119.65,120.23
120.23,120.74,119.55,119.79
119.82,120.09,118.93,119.44
119.48,120.75,119.47,120.18
120.18,120.63,119.5,119.56
119.56,120.19,118.62,119.76
119.73,120.15,119.23,119.61
119.61,120.08,119,119.12
119.12,119.53,118.42,118.58
118.58,118.72,117.92,118.53
118.54,118.71,117.84,118.25
118.25,118.98,118.18,118.46
118.46,118.87,118.23,118.81
118.81,119.04,118.41,118.5
118.5,119.14,118.14,118.48
118.48,119.2,118.38,119.16
119.16,119.2,118.71,118.81
118.82,118.89,117.98,118.59
118.59,119.4,118.32,119.35
119.34,119.82,119.25,119.61
119.61,120.13,119.48,120.1
120.1,120.64,119.93,120.2
120.2,121.23,120.12,121.23
121.23,121.37,120.53,120.56
120.57,121.14,120.57,120.89
120.89,120.92,120.12,120.16
120.16,120.38,119.83,120.29
120.3,120.67,120.07,120.22
120.22,120.35,119.25,119.25
119.25,119.42,117.82,118.09
118.1,118.68,117.59,117.89
117.89,118.38,117.02,117.39
117.37,118.52,117.22,118.23
118.23,118.23,116.4,117.65
118.24,119.33,117.65,118.5
118.5,118.87,118.04,118.5
118.5,119.99,118.5,119.37
119.37,120.13,119.09,119.48
119.48,119.84,118.97,119.55
119.53,119.6,118.41,118.43
118.42,118.85,118.1,118.63
118.63,118.68,116.74,117.11
117.12,117.19,116.41,116.88
116.9,117.44,116.47,116.62
116.62,116.9,115.65,116.45
116.45,117.46,116.19,117.4
117.4,117.87,117.38,117.78
117.78,118.25,117.75,117.91
117.89,118.15,117.7,117.97
117.97,118.15,117.4,117.78
117.79,118.88,117.78,118.61
118.61,118.77,118.32,118.51
118.51,118.64,118.04,118.09
118.09,118.16,117.72,118.09
118.09,118.2,117.47,117.87
117.87,117.87,117.38,117.52
117.52,118.14,117.45,118.1
118.1,118.24,117.5,117.62
117.62,117.76,117.11,117.29
117.29,117.5,116.81,116.99
116.99,117.08,116.38,116.42
116.48,117.25,116.4,117
117,117.33,116.69,117.28
117.28,117.32,116.68,117.17
117.21,117.72,116.83,117.64
117.63,117.73,117.31,117.4
117.41,117.8,117.21,117.41
117.41,117.88,117.41,117.85
117.85,118.77,117.75,118.34
118.34,118.57,117.59,117.65
117.67,118.28,117.63,118.26
118.26,119.01,118.2,118.97
119,119.37,118.68,118.82
118.29,118.34,116.85,117.76
117.76,119.12,117.62,118.87
118.9,119.24,117.83,118.34
118.34,118.7,117.41,117.87
117.87,117.92,115.94,116.01
116.01,117.38,115.94,117.35
117.35,118.02,117.33,117.58
117.65,118.39,117.51,118.16
118.18,118.32,117.13,117.29
117.3,117.73,116.44,117.29
117.29,117.84,117.06,117.72
117.72,117.8,116.96,117.33
117.33,117.69,116.98,117.56
117.56,117.6,117,117.22
117.22,117.26,116.54,116.62
116.62,116.66,114.72,114.74
114.74,115.34,114.5,114.59
114.59,115.11,113.81,114.15
114.15,114.4,112.51,112.73
112.73,113.59,112.63,113.22
113.22,113.35,112.04,113.3
113.3,114.26,113.11,113.85
113.85,114.13,113.01,113.13
113.13,113.3,112.08,112.63
112.63,112.85,111.08,111.46
111.46,111.53,109.59,109.64
109.64,110.64,109.45,110.5
110.5,110.59,108.67,109.06
109.06,109.08,107.57,108.92
108.92,109.82,108.34,109.57
109.55,110.22,108.21,108.21
108.21,109.75,108.21,109.7
109.7,110.3,109.42,109.84
109.84,110.15,108.73,108.8
108.8,109.65,108.34,109.36
109.34,109.84,108.33,109.1
109.12,110.04,108.18,109.65
109.65,109.9,109.08,109.1
109.09,109.62,108.22,109.43
104.21,105.06,101.38,102.08
102.06,103.09,101.01,102.08
102.08,103.69,101.67,103.54
103.54,105.15,103.32,104.96
105.03,105.08,103.72,104.9
104.9,106.01,104.9,105.57
105.57,105.81,103.87,104.25
104.25,105.47,104.25,105.22
105.22,107.3,105,107.27
107.27,107.5,106.62,107.07
107.07,107.33,106.39,106.63
106.66,108.16,106.63,107.92
107.92,108.04,106.84,106.87
106.89,107.92,106.78,106.89
106.89,107.5,106.32,107.46
107.47,107.53,105.86,106.23
106.24,106.58,105.31,105.41
105.43,106.34,105.13,106.26
106.26,106.38,105.71,105.88
105.88,105.98,105.02,105.31
105.31,105.5,104.73,105.07
105.07,105.73,104.32,104.56
104.5,104.6,103.54,103.98
103.98,105.17,103.98,105.11
105.11,105.3,104.54,105.26
105.27,106.74,105.24,106.73
106.71,106.73,106.08,106.35
106.35,107.43,106.18,107.22
107.22,107.4,106.59,106.65
106.65,107.53,106.65,107.52
107.52,107.54,106.28,107
107.02,107.17,106.29,106.37
106.37,106.67,105.8,106.49
106.49,107.13,106.16,106.89
106.89,107.35,105.94,105.97
106,106.39,105.37,105.53
105.51,106.45,104.99,106.22
106.2,106.5,105.59,105.98
105.98,106.46,105.52,106.27
108.66,109.7,107.59,109.58
109.58,110.71,109.5,110.65
110.65,111.04,110.48,110.77
110.78,111.25,109.93,110.28
110.28,110.7,109.6,110.02
110.02,110.6,109.35,109.65
109.65,110.42,109.54,110.42
110.42,110.68,110.12,110.36
110.36,110.59,109.85,110.11
110.1,110.24,109.63,109.91
109.91,110.07,108.84,109.43
109.43,109.46,108.05,108.33
